Cod.,descrizione breve,Long,Lat,Territorio,Localizzazione,Venue,CUP,Descrizione lunga,Finalità,Totale quadro economico,Soggeto attuatore,Stazione Appaltante,procedura ambientale,Riferimento normativo procedura ambientale,data fine procedura ambientale,procedura autorizzativa,Riferimento normativo procedura autorizzativa,data fine procedura autorizzativa,data aggiudicazione,Aggiudicatario,Data inizio Lavori,Data fine Lavori,Fase dell'intervento,Certificazione dell'Opera,Tipo Legacy,fine ante olimpiadi,commissario,data pubblicazione dati
B15.0,Costruzione di un bacino artificiale per l'innevamento,12.156111,46.879496,Area Dolomitica - Bolzano,Comune di Rasun Anterselva,Stadio del Biathlon di Anterselva,I52E22000860004,"L’intervento prevede la realizzazione di un nuovo bacino di accumulo dell’acqua per l’innevamento delle piste da sci da fondo di Anterselva con invaso fuori alveo, bacino fuori terra, sbarramento in materiali sciolti. La lunghezza totale sarà di circa 125 mt, larghezza di circa 79 mt, profondità massima di 8,27 mt per una capacità utile di circa 30.000 m3, superficie massima dello specchio d’acqua pari a circa 6.000 m2.",Evento olimpico,5000000,Comune di Rasun Anterselva,Comune di Rasun Anterselva,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii e L.P. 42/2017,2024-09-15 00:00:00,Conferenza di Servizi Decisoria,art. 14 L. 241/1990 e ss.mm.ii.,2025-01-23 00:00:00,2025-07-16 00:00:00, Karl Wieser SNC,2025-08-05 00:00:00,2026-01-15 00:00:00,concluso,---,---,"Ultimazione lavori di finitura:
12/04/2026",,2026-01-22
B16.0,Infrastrutture - Approvvigionamento elettrico Cabine BT/MT,12.15315006609745,46.88484235791036,Area Dolomitica - Bolzano,Comune di Rasun Anterselva,Stadio del Biathlon di Anterselva,I54E21026440001,L'intervento prevede i lavori per l'adeguamento tecnologico-impiantistico all'infrastruttura elettrica a servizio degli impianti sportivi di Anterselva con un potenziamento e messa in sicurezza dell’alimentazione elettrica del centro sportivo. ,Evento olimpico,4109600,Comune di Rasun Anterselva,Comune di Rasun Anterselva,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Permesso a costruire,n.d.,2023-05-17 00:00:00,n.d.,PLONER srl,2023-11-09 00:00:00,2025-03-21 00:00:00,concluso,---,---,,,2026-01-22
B17.0,"Impianto sportivo Anterselva sistemazione illuminazione, controllo accessi, digitalizzazione",12.15315006609745,46.88484235791036,Area Dolomitica - Bolzano,Comune di Rasun Anterselva,Stadio del Biathlon di Anterselva,I55B22000300001,L’intervento prevede il potenziamento dell’impianto di illuminazione dello stadio del biathlon di Anterselva.,Evento olimpico,4510500,Comune di Rasun Anterselva,Comune di Rasun Anterselva,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Permesso a costruire,n.d.,2023-12-19 00:00:00,2024-05-29 00:00:00,ATI ELPO srl/UNIONBAU SPA,2024-07-24 00:00:00,2025-09-21 00:00:00,concluso,---,---,,,2026-01-22
B18.0,Adeguamento dello Stadio del biathlon di Anterselva,12.15315006609745,46.88484235791036,Area Dolomitica - Bolzano,Comune di Rasun Anterselva,Stadio del Biathlon di Anterselva,I54E21026450001,"L'intervento prevede la costruzione di un nuovo corpo di fabbrica con facciata fotovoltaica, includendo un deposito per armi e munizioni, spazi funzionali per il CIO trasformabili post-Olimpiadi e nuove cabine per reporter. Inoltre, verranno realizzati nuovi tunnel per macchine battipista e collegamenti verticali per migliorare l'accessibilità e la sicurezza del sito.",Evento olimpico,37370936.07,Comune di Rasun Anterselva,Comune di Rasun Anterselva,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Permesso a costruire,n.d.,2022-09-07 00:00:00,2023-07-17 00:00:00,Unionbau AG,2023-07-19 00:00:00,2026-01-15 00:00:00,in esecuzione,---,---,"Ultimazione lavori di legacy:
31/03/2028",,2026-01-22
B19.0,Collegamento dei versanti con realizzazione di parcheggio presso stazione intermedia,10.122721,46.523175,Lombardia,Comune di Livigno,Livigno,C11C22006460007,"L'intervento prevede il collegamento dei versanti sciistici di Livigno mediante la realizzazione di due linee di cabinovia - Carosello-Freita-Valfin -  e l'integrazione di un parcheggio interrato in corrispondenza della stazione intermedia su via Freita, per un totale di circa 500 posti auto. ",Legacy,52256200,SIMICO S.p.A.,SIMICO S.p.A.,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2025-03-27 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2025-05-20 00:00:00,2025-09-30 00:00:00,RTI: ECOEDILE S.r.l. –  GRAFFER S.r.l. – DOLOMITI STRADE S.r.l.,2026-03-31 00:00:00,2027-11-12 00:00:00,in esecuzione,In avvio il preliminary assessment ENVISION ,Altro,,Commissario Straordinario,2026-01-22
C01.0,Demolizione e ricostruzione ponte 44/14 al km 11+655.,12.1055333378621,46.86089436709443,Area Dolomitica - Bolzano,Comune di Anterselva,SP44,B51B20000330003,"L’intervento consiste nella demolizione del ponte 44/14 che attraversa il Rio di Anterselva ricostruendone un nuovo sul medesimo sedime. Saranno realizzate due nuove spalle tra quelle esistenti. Ciascuna fondazione delle due spalle appoggerà su otto pali trivellati di grande diametro di lunghezza pari a 25,0 mt. L’impalcato sarà realizzato in struttura mista acciaio-calcestruzzo. ",Legacy,3771000,SIMICO S.p.A.,Provincia Autonoma di Bolzano,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conformitá Urbanistica,"art. 70, c. 1, lett. c) L. prov. n. 9/2018",2023-05-12 00:00:00,2024-05-06 00:00:00,Goller Bögl srl,2024-10-01 00:00:00,2025-10-09 00:00:00,concluso,---,Stradali/Ferroviari,,,2026-01-22
C02.0,Intervento stradale su incrocio ed accesso ad Anterselva.,12.04156222564245,46.77261998578278,Area Dolomitica - Bolzano,Comune di Anterselva,SS49 - SP44,B57H20000870003,"L’intervento prevede la modifica di due incroci sulla S.S. 49 della Val Pusteria, il primo con la S.P. 43 per Valdaora e il secondo con la S.P. 44 per Anterselva nel comune di Rasun Anterselva. L'intersezione è progettata come una rotatoria a raso con due corsie aggiuntive sotto forma di bypass. Per ridurre l’impatto ambientale e paesaggistico sono previste adeguate misure di mitigazione ambientale oltre alla previsione di fermate degli autobus e dei marciapiedi e la riqualificazione della pista ciclabile. ",Legacy,36184029.99,SIMICO S.p.A.,Provincia Autonoma di Bolzano,Verifica Assoggettabilità a VIA,artt. 6 e 7 L. prov. n. 17/2017 e ss.mm.ii.,2023-12-18 00:00:00,Modifica PUC,"art. 103, c. 5 L. prov. n. 9/2018",2024-05-28 00:00:00,2025-10-13 00:00:00,RTI Unionbau AG - Brunner & Leiter GmbH,2025-11-10 00:00:00,2027-10-10 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C03.0,Ampliamento stradale con terza corsia alternata SS49,11.86678,46.789608,Area Dolomitica - Bolzano,Provincia Autonoma di Bolzano,SS49 - SP44,B94E20002350003,"L’intervento prevede l’ampliamento a tre corsie della sezione stradale in un tratto della S.S. 49 compreso tra Chienes e “Kniepass"" permettendo una maggiore scorrevolezza del traffico e un miglior comfort con i mezzi lenti. Constatata la frequenza di incidenti per investimento di animali selvatici è prevista anche la realizzazione di un percorso di attraversamento della S.S. 49 tramite un ponte rinverdito.",Legacy,10625835.67,SIMICO S.p.A.,Provincia Autonoma di Bolzano,Conferenza dei Servizi in materia ambientale,art. 42 L. prov. n. 17/2017 e ss.mm.ii.,2025-01-31 00:00:00,Conformitá Urbanistica,"art. 70, c. 1, lett. c) L. prov. n. 9/2018",2025-10-13 00:00:00,2026-05-18 00:00:00,---,2026-06-24 00:00:00,2027-09-09 00:00:00,in progettazione,---,Stradali/Ferroviari,,,2026-01-22
C04.0,Nuovo collegamento con circonvallazione di Dobbiaco.,12.240002,46.725412,Area Dolomitica - Bolzano,Comune di Dobbiaco,SS49,B74E20001220003,"L’intervento prevede un nuovo collegamento tra la S.S. 49 della Val Pusteria e la S.S. 51 di Alemagna proveniente da Cortina d’Ampezzo con una tangenziale per Dobbiaco. L’obiettivo è ridurre il traffico motorizzato in attraversamento di Dobbiaco e realizzare nuovi parcheggi presso la stazione ferroviaria per migliorare l’offerta di trasporto pubblico. Al fine di evitare l’interruzione dei principali collegamenti con Cortina d’Ampezzo e con l'Austria è necessario eseguire le opere in lotti. Si prevedono, in sintesi, le seguenti fasi costruttive prevalenti: Lotto 1: realizzazione del collegamento tra S.S. 49 e S.S. 51 con la stazione ferroviaria di Dobbiaco e riorganizzazione stazione e parcheggi contermini; Lotto 2: realizzazione della circonvallazione di Dobbiaco Sud; Lotto 3: realizzazione di lavori di adeguamento del tratto della S.S. 51 di collegamento con la S.S. 49.",Legacy,20965616.93,SIMICO S.p.A.,Provincia Autonoma di Bolzano,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,n.d.,---,n.d.,n.d.,in progettazione,---,Stradali/Ferroviari,,,2026-01-22
C05.0,Circonvallazione di Perca.,11.98628,46.791305,Area Dolomitica - Bolzano,Comune di Perca,SS12,B51B11001060003,L’intervento prevede la realizzazione di un tracciato a valle dell’abitato di Perca con la costruzione di una nuova galleria collegata alla superficie mediante un pozzo di aerazione di profondità di circa 100 mt. Tale infrastruttura si sviluppa per 640 mt a cielo aperto e per i restanti 2300 mt a foro cieco. Verranno realizzati uno svincolo a trombetta e una nuova intersezione stradale a livelli sfalsati ad Est dell’abitato di Rio Liccio con innesto diretto verso San Candido. Sono previste inoltre cinque piazzole di sosta e quattro vie di fuga.,Legacy,171718291.29,SIMICO S.p.A.,Provincia Autonoma di Bolzano,Verifica Assoggettabilità a VIA,artt. 6 e 7 L. prov. n. 17/2017 e ss.mm.ii.,2020-10-07 00:00:00,Conformitá Urbanistica,"art. 70, c. 1, lett. c) L. prov. n. 9/2018",2021-06-11 00:00:00,2022-10-24 00:00:00,Strabag SPA- Alpenbau Srl- Unionbau SPA,2022-10-24 00:00:00,2028-04-30 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C06.0,Eliminazione passaggio a livello con sottopasso ferroviario - San Candido.,12.264312,46.729642,Area Dolomitica - Bolzano,Comune di San Candido,Incrocio SS59 SS52,B21B18000120003,"L’intervento prevede la modifica sostanziale dell’intersezione stradale a raso nei pressi di Dobbiaco, compreso il passaggio ferroviario, al fine di aumentare l’efficienza e la sicurezza della viabilità. Sarà quindi realizzata una nuova rotatoria con un diametro di 45 mt, una rampa e  un ponte lungo circa 100 mt sopra la S.S. 49, la linea ferroviaria e la Drava, per raggiungere la S.S. 52 in direzione Sesto.",Legacy,20464907.66,SIMICO S.p.A.,Provincia Autonoma di Bolzano,Verifica Assoggettabilità a VIA,artt. 6 e 7 L. prov. n. 17/2017 e ss.mm.ii.,2023-08-28 00:00:00,Modifica PUC,"art. 103, c. 5 L. prov. n. 9/2018",2024-02-16 00:00:00,n.d.,---,n.d.,n.d.,in progettazione,---,Stradali/Ferroviari,,,2026-01-22
C07.0,Collegamento Valbadia - Cortina (Tratta PA Bolzano) II Lotto.,11.974963,46.552327,Area Dolomitica - Bolzano,Provincia Autonoma di Bolzano,SP37,B34E20001610003,"L'intervento prevede che la tratta stradale di interesse della S.P. 37 tra San Cassiano e la provincia di Belluno, notoriamente caratterizzata da cedimenti differenziali in corrispondenza del ciglio verso valle venga messo in sicurezza dagli eventi franosi e potenziali disseti. Contestualmente sarà realizzato un tratto di pista ciclabile.",Legacy,6318900,SIMICO S.p.A.,Provincia Autonoma di Bolzano,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conformitá Urbanistica,"art. 70, c. 1, lett. c) L. prov. n. 9/2018",2023-10-15 00:00:00,2024-05-10 00:00:00,Alpenbau Srl,2024-06-24 00:00:00,2025-11-19 00:00:00,concluso,---,Stradali/Ferroviari,"Ultimazione lavori di finitura:
30/06/2026",,2026-01-22
C08.0,Collegamento Valbadia - Cortina (Tratta PA Bolzano) I Lotto.,11.977542,46.552501,Area Dolomitica - Bolzano,Provincia Autonoma di Bolzano,SP37,B31B16000530003,"L'intervento prevede la sistemazione dell’ultimo tratto stradale della S.P. 37, in prossimità del Passo di Valparola, tra le progressive chilometriche 9+490 e 10+300. Si riportano le seguenti attività costruttive prevalenti: rifacimento e realizzazione di nuovi muri di sostegno della piattaforma stradale; consolidamento strutturale sui lati di monte e di valle; installazione di nuove reti metalliche di protezione del pendio; realizzazione di un tratto di nuova pista ciclabile.",Legacy,4587516.03,SIMICO S.p.A.,Provincia Autonoma di Bolzano,Conferenza dei Servizi in materia ambientale,art. 42 L. prov. n. 17/2017 e ss.mm.ii.,2020-07-22 00:00:00,Conformitá Urbanistica,"art. 70, c. 1, lett. c) L. prov. n. 9/2018",2022-08-03 00:00:00,2024-05-06 00:00:00,De.Co.Bau,2024-06-25 00:00:00,2025-12-17 00:00:00,concluso,---,Stradali/Ferroviari,"Ultimazione lavori di finitura:
01/05/2026",,2026-01-22
C09.1,Interconnessione tra SP81 e SP71 Lotto 1 - UF0.,11.285284,46.161638,Area Dolomitica - Trento,Provincia Autonoma di Trento,SP102,C11B21005540003,"L’intervento prevede il completamento del collegamento stradale tra la Val di Cembra e l’Altopiano di Pinè sfruttando la sede stradale della preesistente ""Strada delle Strente"". E’ progettata la riqualificazione della piattaforma stradale, la costruzione di una galleria artificiale, di una rotatoria, di opere di sostegno e di controriva. L’intervento parte da circa 1 km a monte della località Strente e termina con l’innesto in una nuova rotatoria sulla S.P. 83 di Pinè, in adiacenza al lago delle Piazze, per uno sviluppo complessivo lungo l’asse principale di circa 1235 mt. LOTTO 1.",Legacy,12957500,SIMICO S.p.A.,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-03-07 00:00:00,2025-04-07 00:00:00,RTI - ZAMPEDRI LORENZO S.r.l. e IDROTECH S.r.l ed IMPRESA MAZZOTTI ROMUALDO S.p.a.,2025-08-01 00:00:00,2027-03-16 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C09.2,Interconnessione tra SP81 e SP71 Lotto 2 - UF1.,11.337304,46.248635,Area Dolomitica - Trento,Provincia Autonoma di Trento,SP102,C54E21001050003,"L’intervento prevede la messa in sicurezza di un tratto della S.P. 71, previo allargamento della piattaforma stradale e rettifica di alcuni tratti, al fine migliorare la scorrevolezza, la visibilità e la sicurezza al transito veicolare. E' progettata la modifica del raggio di curvatura mediante lo sbancamento della parete rocciosa di monte; la realizzazione di un nuovo muro di sostegno; la realizzazione di una mensola in cemento armato per consentire l’allargamento della sede stradale dal lato di valle e l'installazione di nuove reti corticali e barriere paramassi. LOTTO 2.",Legacy,1451200,SIMICO S.p.A.,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2024-01-10 00:00:00,2025-01-13 00:00:00,NICOLODI COSTRUZIONI S.r.l.,2025-04-24 00:00:00,2026-06-30 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C09.3,Interconnessione tra SP81 e SP71 Lotto 3 - UF2.,11.333207,46.247783,Area Dolomitica - Trento,Provincia Autonoma di Trento,SP102,C54E21001060003,"L'intervento prevede la messa in sicurezza di un tratto della S.P. 71, previo allargamento della piattaforma stradale e rettifica di alcune sezioni, al fine di ottenere un miglioramento della scorrevolezza, della visibilità e quindi della sicurezza veicolare. Si prevede modifica al Km 31+450 del raggio di curvatura mediante lo sbancamento della parete rocciosa di monte e l'installazione di nuove reti corticali e barriere paramassi per migliorare la sicurezza del tratto. LOTTO 3.",Legacy,1378700,SIMICO S.p.A.,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-01-17 00:00:00,2024-04-08 00:00:00,RTI - COSTRUZIONI S.R.L. e CTS S.R.L.,2024-10-07 00:00:00,2026-01-15 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C09.4,Interconnessione tra SP81 e SP71 Lotto 4 - UF3.,11.325777,46.232813,Area Dolomitica - Trento,Provincia Autonoma di Trento,SP102,C54E21001070003,"L'intervento prevede la messa in sicurezza di un tratto della S.P. 71, da realizzarsi tramite l’allargamento e la modifica della sede stradale al fine di ottenere un miglioramento della scorrevolezza e della sicurezza stradale complessiva. L’intervento prevede la realizzazione di un nuovo ponte che si sviluppa per circa 150 mt con una curva di raggio 40 mt che si raccorda a monte e a valle del nuovo ponte alla strada esistente. Il nuovo ponte sarà in curva, a campata unica, con una luce di circa 40 mt. LOTTO 4. ",Legacy,4405600,SIMICO S.p.A.,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-09-01 00:00:00,2025-03-27 00:00:00,RTI - GRUPPO ADIGE BITUMI S.p.a e C.T.S. Sr.l.,2025-06-25 00:00:00,2027-04-04 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C09.5,Interconnessione tra SP81 e SP71 Lotto 5 - UF4.,11.322666,46.232765,Area Dolomitica - Trento,Provincia Autonoma di Trento,SP102,C64E21000570003,"L’intervento prevede la messa in sicurezza di un tratto della S.P. 71, da realizzarsi tramite l’allargamento e la modifica della piattaforma stradale al fine di ottenere un miglioramento della scorrevolezza e della sicurezza veicolare complessiva. L’intervento prevede la realizzazione di un nuovo ponte che si sviluppa per circa 150 mt, con una curva di raggio 40 mt che si raccorda a monte e a valle del nuovo ponte alla strada esistente. Il nuovo ponte sarà in curva, a campata unica, con una luce di circa 40 mt. LOTTO 5.",Legacy,1808900,SIMICO S.p.A.,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-10-24 00:00:00,2026-02-01 00:00:00,---,2026-03-20 00:00:00,2026-10-15 00:00:00,in gara,---,Stradali/Ferroviari,,,2026-01-22
C09.6,Interconnessione tra SP81 e SP71 Lotto 6 - UF5.,11.319631,46.228336,Area Dolomitica - Trento,Provincia Autonoma di Trento,SP102,C14E21000730003,"L’intervento alla progressiva Km 28+500 circa della S.P. 71, consiste nell’aumento del raggio di curvatura di una curva mediante la costruzione di un nuovo ponte a valle rispetto all’esistente. L’opera consentirà di allargare la piattaforma stradale e rettificare puntualmente il tracciato al fine di ottenere un miglioramento della scorrevolezza e della sicurezza veicolare complessiva. Si prevedono, in sintesi, le seguenti fasi costruttive prevalenti: costruzione di un nuovo ponte dell’estesa di 60 m circa, a 3 campate ciascuna di 20 m; costruzione di nuovi muri di sostegno di valle per consentire un miglior raccordo tra la viabilità esistente ed il nuovo ponte; costruzione di un tratto di nuovo muro di controripa e posizionamento di reti corticali per migliorare la sicurezza del nuovo tratto. LOTTO 6.",Legacy,4569411.18,SIMICO S.p.A.,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-10-04 00:00:00,2026-06-01 00:00:00,---,2026-07-18 00:00:00,2028-03-08 00:00:00,in gara,---,Stradali/Ferroviari,,,2026-01-22
C10.1,Adeguamento deposito bus Cavalese e altri siti Lotto Funzionale 1: Cavalese.,11.466105,46.291105,Area Dolomitica - Trento,Comune di Cavalese,Adeguamento infrastrutturale,C41E20000060001,"L'intervento prevede la realizzazione del nuovo polo intermodale di Cavalese all’interno di un progetto di riqualificazione complessiva di tutto il sistema trasportistico di valle. La nuova struttura consentirà di definire uno spazio nel quale ricavare una piazza a servizio di tutti gli utenti. Particolare attenzione verrà posta all’utilizzo dei materiali con l’uso di vetro sulle facciate e copertura piana destinata a verde pubblico.  Sarà realizzato un deposito-rimessa autobus Trentino Trasporti con capienza di 15 bus, impianto lavaggio e ricarica elettrica. A completamento sarà posizionata un'autostazione del trasporto pubblico con otto stalli, biglietteria e sala d’attesa - oltre a un'autorimessa interrata di 137 posti auto circondata da un parco verde a destinazione pubblica.",Legacy,19023224.17,SIMICO S.p.A.,Trentino Trasporti S.p.A.,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2022-11-15 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-04-12 00:00:00,2023-09-05 00:00:00,"RTI D.F. Costruzioni S.r.l., Nord Costruzioni S.r.l. e Bertolini Ocea Impianti S.r.l.",2023-12-11 00:00:00,2025-12-22 00:00:00,concluso,---,Stradali/Ferroviari,,,2026-01-22
C10.2,Adeguamento deposito bus Cavalese e altri siti Lotto Funzionale 2: Sen Jean di Fassa.,11.686794,46.430261,Area Dolomitica - Trento,Comune San Jean di Fassa,Adeguamento infrastrutturale,C41J23000010001,"L'intervento prevede la realizzazione del nuovo deposito per ricovero degli autobus anche a trazione elettrica per il trasporto pubblico a nord dell’abitato di Pera nel Comune di Sèn Jan di Fassa con una rimessa autobus della  capienza di 25 Bus, la realizzazione di un impianto ricarica elettrica e di un impianto distributore di combustibile a gas metano compresso.",Legacy,11056500,SIMICO S.p.A.,Trentino Trasporti S.p.A.,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2024-08-30 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2024-11-18 00:00:00,2025-04-09 00:00:00,MISCONEL SRL,2025-06-03 00:00:00,2026-01-15 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C10.3,Adeguamento deposito bus Cavalese  e altri siti Lotto Funzionale 3: Penia (Canazei).,11.79720,46.458261,Area Dolomitica - Trento,Comune di Canazei,Adeguamento infrastrutturale,C46F23000020001,L'intervento prevede l’ampliamento di due stalli autobus del deposito di Penia per consentire il deposito e la ricarica degli autobus a trazione elettrica nonché le opere impiantistiche e tecnologiche necessarie. ,Legacy,2148200,SIMICO S.p.A.,Trentino Trasporti S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-11-09 00:00:00,2024-07-16 00:00:00,RTI COSTRUZIONI ELETTRICHE GIOVANELLA S.R.L. - EDILFERRETTI S.R.L.,2024-09-26 00:00:00,2025-12-17 00:00:00,concluso,---,Stradali/Ferroviari,,,2026-01-22
C11.1,Bus Rapid Transit - adeguamento sezione stradale - Materiale rotabile autoservizio e infrastruttura di ricarica ,11.588237362775532,46.29599214970693,Area Dolomitica - Trento,Provincia Autonoma di Trento,Adeguamento infrastrutturale,C46G20000230001,"Il progetto Bus Rapid Transit (BRT) delle valli di Fiemme e Fassa prevede il raddoppio delle percorrenze rispetto allo stato attuale, passando dai circa 900.000 km/anno ai circa 1.800.000 km/anno con un sistema di cadenzamento che risulterà attrattivo per la clientela pendolare e turistica. Si prevede l' acquisto di 32 bus urbani ad alimentazione elettrica di classe I da 12 metri per la linea ad alta capacità di valle Castello di Fiemme – Penia e l'acquisizione di appositi sistemi di ricarica veloce per assicurare la continuità del servizio in modalità elettrica. ",Legacy,20263875.83,SIMICO S.p.A.,Trentino Trasporti S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2025-02-28 00:00:00,POWERBUS SRL e YUTONG FRANCE SAS,2025-04-22 00:00:00,31/11/2026,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C11.2,Bus Rapid Transit - adeguamento sezione stradale - Bus urbani elettrici e Bus extraurbani.,11.588237362775532,46.29599214970693,Area Dolomitica - Trento,Provincia Autonoma di Trento,Adeguamento infrastrutturale,J40B23000000003,"Il progetto Bus Rapid Transit (BRT) delle valli di Fiemme e Fassa (TN), prevede il raddoppio delle percorrenze rispetto allo stato attuale, passando dai circa 900.000 km/anno ai circa 1.800.000 km/anno con un sistema di cadenzamento che risulterà attrattivo per la clientela pendolare e turistica. Per l’intensificazione del servizio durante l’alta stagione della linea Moena-Penia viene previsto l'acquisto di nuovi bus ad alimentazione elettrica.",Legacy,1025491.3,SIMICO S.p.A.,Trentino Trasporti S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2027-12-31 00:00:00,---,2028-03-02 00:00:00,2028-10-26 00:00:00,in progettazione,---,Stradali/Ferroviari,,,2026-01-22
C11.3,Bus Rapid Transit - adeguamento sezione stradale: S-993.,11.588237362775532,46.29599214970693,Area Dolomitica - Trento,Provincia Autonoma di Trento,Adeguamento infrastrutturale,C34E21001350003,"Il progetto del Bus Rapid Transit (BRT) nelle valli di Fiemme e Fassa lungo la S.S. 48 delle Dolomiti mira a migliorare il trasporto pubblico locale tramite l'adeguamento della sede stradale esistente e l'installazione di sistemi di controllo e monitoraggio. Il percorso da Cavalese a Canazei sarà ottimizzato per aumentare la frequenza e l'efficienza del servizio. Gli interventi includeranno l'adeguamento dell'infrastruttura stradale, l'aggiornamento dei punti di fermata e l'implementazione di nuova tecnologia per il controllo del traffico.",Legacy,72341977.53,SIMICO S.p.A.,Provincia Autonoma di Trento,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2024-12-31 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2026-03-16 00:00:00,2027-05-10 00:00:00,---,2027-07-24 00:00:00,2028-07-23 00:00:00,in progettazione,---,Stradali/Ferroviari,,,2026-01-22
C12.0,Acquisto treni elettrici o ibridi - Linea Trento Bassano Del Grappa*via linea Trento - Bassano Del Grappa,11.12305128277938,46.07522073238598,Area Dolomitica - Trento,Provincia Autonoma di Trento,Trento,C60D20000000003,"L’intervento prevede la fornitura di nuovi treni elettrificati, in particolare, di n. 5 treni Pop, n.4 treni Blues e n.4 Rotabili Blues per la linea Trento Bassano Del Grappa via linea Trento - Bassano Del Grappa.",Legacy,65324100,SIMICO S.p.A.,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,n.d.,ALSTOM FERROVIARIA S.p.A. - HITACHI RAIL,2024-07-10 00:00:00,2027-11-30 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
