Cod.,descrizione breve,Long,Lat,Territorio,Localizzazione,Venue,CUP,Descrizione lunga,Finalità,Totale quadro economico,Soggeto attuatore,Stazione Appaltante,procedura ambientale,Riferimento normativo procedura ambientale,data fine procedura ambientale,procedura autorizzativa,Riferimento normativo procedura autorizzativa,data fine procedura autorizzativa,data aggiudicazione,Aggiudicatario,Data inizio Lavori,Data fine Lavori,Fase dell'intervento,Certificazione dell'Opera,Tipo Legacy,fine ante olimpiadi,commissario,data pubblicazione dati
B09.1,Realizzazione del nuovo impianto a fune,12.13610957899233,46.53314914607808,Area Dolomitica - Veneto,Comune di Cortina,Tofane,C41C22004870003,"L'intervento prevede la realizzazione del nuovo impianto a fune nella tratta Apollonio - Socrepes, a servizio del versante Tofane di Cortina, dove si terranno le competizioni di sci previste sulla pista Olimpia. Funzionalmente completerà l'intervento la realizzazione del parcheggio ed il sistema di mobilità integrato, previsti sull'opera B09.2, che consentiranno il collegamento dei versanti sciistici.",Legacy,34930322.52,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 44 del D.L. 77 del 31/05/2021 e della D.G.R. 569 del 20/05/2024,2025-02-21 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2025-04-22 00:00:00,2025-07-07 00:00:00,RTI - Graffer S.r.l - ECOEDILE - S.r.l. e DOLOMITI STRADE S.r.l.,2025-07-10 00:00:00,2026-02-01 00:00:00,in esecuzione,---,Altro,"Ultimazione lavori di finitura:
31/07/2026",Commissario Straordinario,2026-01-22
B09.2,Proposta di Partenariato pubblico privato nuovo sistema integrato di mobilità intermodale nel Comune di Cortina,12.13610957899233,46.53314914607808,Area Dolomitica - Veneto,Comune di Cortina,Tofane,C41C22004880001,"L'intervento prevede un sistema combinato di opere tra loro interconnesse e strettamente interdipendenti.Il progetto include un edificio multifunzionale che ospita servizi, ristoro e un centro wellness su cinque livelli. E' compreso un parcheggio su tre livelli per 750 auto e 114 box privati oltre a un'ampia area per i trasporti pubblici. Questa struttura collega direttamente il parcheggio alla stazione di partenza ai servizi migliorando l'accessibilità e la fruibilità dell'area sciistica.",Legacy,105537194.46,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 44 del D.L. 77 del 31/05/2021 e della D.G.R. 569 del 20/05/2024,2025-02-21 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",n.d.,n.d.,---,n.d.,n.d.,in progettazione,---,Altro,,,2026-01-22
B10.1,Riqualificazione di immobili residenziali pubblici nel Comune di Cortina d'Ampezzo (BL).,12.132572202162878,46.52352588837303,Area Dolomitica - Veneto,Comune di Cortina,Cortina,C44J22001810001,"L’intervento prevede la ristrutturazione di  appartamenti  in Via del Campo - per i quali è previsto un intervento di risanamento delle tubature e ristrutturazione interne sui bagni e finiture - e in Via Olimpia, con una manutenzione straordinaria, consistente nel  risanamento completo degli impianti e delle finiture interne. ",Legacy,535544.48,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2023-06-19 00:00:00,Fontana S.r.l.,2023-08-28 00:00:00,2024-09-30 00:00:00,concluso,---,Altro,,,2026-01-22
B10.2,Riqualificazione dell'immobile ex-Panificio nel Comune di Cortina d'Ampezzo (BL),12.136254576544893,46.5371317998832,Area Dolomitica - Veneto,Comune di Cortina,Cortina,C44J22001820001,"L'intervento prevede la riqualificazione dell’immobile denominato Ex-panificio che, durante i Giochi, sarò adibito ad attività di supporto allo svolgimento dell’evento olimpico. Successivamente, l’edificio verrà restituito al territorio, quale intervento di legacy.  ",Legacy,7015228.02,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2024-09-18 00:00:00,RTI Ecoedile Duesse Impianti,2024-10-31 00:00:00,2026-03-03 00:00:00,in esecuzione,---,Altro,,,2026-01-22
B10.3,Riqualificazione della piazza ex-Mercato nel Comune di Cortina d'Ampezzo (BL).,12.136216153514924,46.53692323793828,Area Dolomitica - Veneto,Comune di Cortina,Cortina,C44J22001830001,L'intervento prevede di riqualificazione di Piazza Mercato ad una quota ribassata in modo tale da conservare la vista del paesaggio e avere uno spazio pedonale protetto con la realizzazione di un parcheggio interrato sotto la piazza stessa.,Legacy,7537829.02,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2024-05-03 00:00:00,2026-04-15 00:00:00,---,2026-05-21 00:00:00,2027-10-14 00:00:00,in progettazione,---,Altro,,,2026-01-22
B11.1,Riqualificazione di immobili pubblici nel Comune di Bormio (SO).,10.37645517903512,46.46804884037116,Lombardia,Comune di Bormio,Bormio,C94J22001550001,"L'intervento prevede la riqualificazione di immobili pubblici del Comune di Bormio che dapprima accoglieranno attività di supporto allo svolgimento dell’evento olimpico (servizi logistici, direzionali e di ospitalità) e saranno poi restituite al territorio, quale intervento di legacy, a destinazione d’uso misto. ",Legacy,6000000,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,n.d.,---,n.d.,n.d.,in progettazione,---,Altro,,,2026-01-22
B11.2,Interventi per immobili pubblici nel Comune di Livigno (SO).,10.1133986,46.5322106,Lombardia,Comune di Livigno,Livigno,C14J22001860001,"L'intervento prevede la riqualificazione di immobili pubblici del Comune di Livigno, nell'area della struttura esistente denominata Acquagranda, che accoglieranno attività con funzioni diverse a destinazione d’uso mista, compresa la realizzazione di alloggi per atleti con disabilità. ",Legacy,6000000,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,art. 14 L. 241/1990 e ss.mm.ii.,n.d.,n.d.,---,n.d.,n.d.,in progettazione,---,Altro,,,2026-01-22
B11.3,Interventi per immobili pubblici nella Provincia di Trento.,11.0791564,46.080454,Area Dolomitica - Trento,Provincia Autonoma di Trento,Trento,C44J22001840001,"L'intervento prevede la riqualificazione di immobili pubblici della Provincia di Trento che dapprima accoglieranno attività di supporto allo svolgimento dell’evento olimpico (servizi logistici, direzionali e di ospitalità) e saranno poi restituite al territorio, quale intervento di legacy, a destinazione d’uso residenze agevolate.  ",Legacy,275100,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,n.d.,---,n.d.,n.d.,in progettazione,---,Altro,,,2026-01-22
B11.5,Casa culturale Anterselva di Mezzo,12.102025,46.859961,Area Dolomitica - Bolzano,Comune di Rasun Anterselva,Bolzano,C54H21000120005,"L'intervento prevede la riqualificazione dell'immobile pubblico ""Casa Culturale Anterselva di Mezzo"" del Comune di Rasun Anterselva (BZ)",Legacy,4500300,SIMICO S.p.A.,Comune di Rasun Anterselva,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2025-03-03 00:00:00,RTI - Gasser Markus S.r.l. & Decor S.r.l.,2025-03-25 00:00:00,2025-12-19 00:00:00,concluso,---,Altro,"Ultimazione opere minori:
30/04/2026",,2026-01-22
B13.0,Realizzazione del parcheggio interrato Mottolino località Bondi,10.143107,46.539304,Lombardia,Comune di Livigno,Livigno,B11B21001260002,"L'intervento prevede la costruzione di un'autorimessa interrata su tre livelli che si integra in modo armonico nel paesaggio. La struttura avrà una superficie 45x150 mt al piano terra, 40x150 mt al primo piano e 35x150 mt al secondo piano, offrendo un totale di circa 500 posti auto. La posizione del parcheggio permetterà di ridurre l'impatto ambientale contribuendo alla gestione del traffico e alla riduzione di inquinamento atmosferico e acustico attraverso un servizio di navette elettriche che lo collegherà al centro di Livigno. La copertura dell'autorimessa fungerà da base per le piste da sci durante le competizioni olimpiche. ",Legacy,35910265.14,SIMICO S.p.A.,SIMICO S.p.A.,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2023-05-03 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-05-13 00:00:00,2024-02-14 00:00:00,AR.CO. LAVORI SOCIETÀ COOPERATIVA CONSORTILE - LIVIPARK Soc.Cons.r.l. ( Hana S.r.l. -  Seli Manutenzioni Generali S.r.l.),2024-04-16 00:00:00,2026-01-15 00:00:00,concluso,---,Stradali/Ferroviari,"Ultimazione opere minori:
31/07/2026",Commissario Straordinario,2026-01-22
